21-03-2024 16:30:07.981Z;functions.open_RM;  OPEN PROGRAM RM
21-03-2024 16:30:23.085Z;functions.loggin_RM;  ENTER USER_NAME
21-03-2024 16:30:27.650Z;functions.loggin_RM;  ENTER PASSWORD
21-03-2024 16:30:28.975Z;functions.loggin_RM;  ENTER RM
21-03-2024 16:31:11.319Z;functions.enter_coligada;  CLICK CONTEXTO
21-03-2024 16:31:16.631Z;functions.enter_coligada;  CLICK ALTERAR MODULO DO CONTEXTO
21-03-2024 16:31:21.137Z;functions.enter_coligada;  INSERE O COLIGADA CODE = 1
21-03-2024 16:31:21.283Z;functions.enter_coligada;  APERTA TAB PARA PREENCHER O CAMPO COM A STRING: OCEANICA ENGENHARIA E CONSULTORIA S.A.
21-03-2024 16:31:23.100Z;functions.enter_coligada;  CLICK AVANÇAR NOVAMENTE
21-03-2024 16:31:24.600Z;functions.enter_coligada;  CLICK CONCLUIR
21-03-2024 16:31:51.272Z;functions.enter_coligada;  POP UP COLIGADA DESAPARECER
21-03-2024 16:31:52.194Z;functions.check_movimentacao_bancaria;  CLICK - TOTVS - LINHA RM
21-03-2024 16:31:54.349Z;functions.check_movimentacao_bancaria;  CLICK - BACK OFFICE
21-03-2024 16:31:55.412Z;functions.check_movimentacao_bancaria;  CLICK - GESTAO FINANCEIRA
21-03-2024 16:32:03.974Z;functions.movimentacao_bancaria;  CLICA NA ABA MOVIMENTAÇÃO BANCARIA
21-03-2024 16:32:05.534Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:32:07.671Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:32:10.198Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:32:10.200Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:32:10.202Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 1
21-03-2024 16:32:30.991Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:32:33.108Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:32:34.625Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:32:34.626Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:32:34.628Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 2
21-03-2024 16:32:55.302Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:32:57.419Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:32:58.928Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:32:58.929Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:32:58.931Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 3
21-03-2024 16:33:19.505Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:33:21.639Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:33:23.188Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:33:23.189Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:33:23.191Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 4
21-03-2024 16:33:43.927Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:33:46.044Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:33:47.687Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:33:47.689Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:33:47.690Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 5
21-03-2024 16:34:08.349Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:34:10.482Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:34:12.124Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:34:12.125Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:34:12.126Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 6
21-03-2024 16:34:32.708Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:34:34.856Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:34:36.271Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:34:36.273Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:34:36.274Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 7
21-03-2024 16:34:56.895Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:34:59.044Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:35:00.678Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:35:00.681Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:35:00.684Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 8
21-03-2024 16:35:21.317Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:35:23.482Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:35:25.003Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:35:25.004Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:35:25.005Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 9
21-03-2024 16:35:45.731Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:35:47.856Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:35:49.361Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:35:49.363Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:35:49.364Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 10
21-03-2024 16:36:10.051Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:36:12.168Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
